city_name,state_name,city_name_in_arabic
borg-al-arab,alexandria,ÈÑÌ ÇáÚÑÈ
bolkly,alexandria,Èæáßáí
glim,alexandria,Ìáíã
gianaclis,alexandria,ÌäÇßáíÓ
ras-el-tin,alexandria,ÑÃÓ ÇáÊíä
roushdy,alexandria,ÑÔÏí
zezenia,alexandria,ÒíÒíäíÇ
saba-pasha,alexandria,ÓÇÈÇ ÈÇÔÇ
san-stefano,alexandria,ÓÇä ÓÊíİÇäæ
sporting,alexandria,ÓÈæÑÊäÌ
stanley,alexandria,ÓÊÇäáí
smoha,alexandria,ÓãæÍÉ
sidi-beshr,alexandria,ÓíÏí ÈÔÑ
sidi-gaber,alexandria,ÓíÏí ÌÇÈÑ
shatby,alexandria,ÔÇØÈí
schutz,alexandria,ÔÏÓ
tosson,alexandria,ØæÓæä
agami,alexandria,ÚÌãí
fleming,alexandria,İáãäÌ
victoria,alexandria,İíßÊæÑíÇ
camp-caesar,alexandria,ßÇãÈ ÔíÒÇÑ
karmous,alexandria,ßÑãæÒ
kafr-abdo,alexandria,ßİÑ ÚÈÏæ
cleopatra,alexandria,ßáíæÈÇÊÑÇ
koum-al-dikka,alexandria,ßæã ÇáÏßÉ
laurent,alexandria,áæÑÇä
moharam-bik,alexandria,ãÍÑøã Èíß
raml-station,alexandria,ãÍØÉ ÇáÑãá
miami,alexandria,ãíÇãí
mina-al-basal,alexandria,ãíäÇ ÇáÈÕá
abu-swear,ismailia,ÃÈæÕæíÑ
tal-al-kebeer,ismailia,ÇáÊá ÇáßÈíÑ
qassaseen,ismailia,ÇáŞÕÇÕíä
kantara-east,ismailia,ÇáŞäØÑÉ ÔÑŞ
kantara-west,ismailia,ÇáŞäØÑÉ ÛÑÈ
fayed,ismailia,İÇíÏ
ismailia-city,ismailia,ãÏíäÉ ÇáÅÓãÇÚíáíÉ
hurghada,red-sea,ÇáÛÑÏŞÉ - ÃÎÑì
hurghada-gouna,red-sea,ÇáÛÑÏŞÉ - ÇáÌæäÉ
qusair,red-sea,ÇáŞÕíÑ
ras-gharib,red-sea,ÑÃÓ ÛÇÑÈ
safaga,red-sea,ÓİÇÌÇ
sahl-hasheesh,red-sea,Óåá ÍÔíÔ
shalateen,red-sea,ÔáÇÊíä
marsa-alam,red-sea,ãÑÓì Úáã
abuu-al-matamer,beheira,ÃÈæ ÇáãØÇãíÑ
abou-homs,beheira,ÃÈæ ÍãÕ
edko,beheira,ÅÏßæ
delengat,beheira,ÇáÏáäÌÇÊ
rahmaniya,beheira,ÇáÑÍãÇäíÉ
mahmoudiyah,beheira,ÇáãÍãæÏíÉ
nubariyah,beheira,ÇáäæÈÇÑíÉ ÇáÌÏíÏÉ
etay-al-barud,beheira,ÇíÊÇí ÇáÈÇÑæÏ
badr,beheira,ÈÏÑ
hosh-essa,beheira,ÍæÔ ÚíÓì
damanhour,beheira,ÏãäåæÑ
rashid,beheira,ÑÔíÏ
shubrakhit,beheira,ÔÈÑÇÎíÊ
kafr-al-dawwar,beheira,ßİÑ ÇáÏæÇÑ
kom-hamadah,beheira,ßæã ÍãÇÏÉ
wadi-al-natrun,beheira,æÇÏí ÇáäØÑæä
6th-of-october,giza,6 ÃßÊæÈÑ
abu-rawash,giza,ÃÈæ ÑæÇÔ
ard-el-lewa,giza,ÃÑÖ ÇááæÇÁ
oseem,giza,ÃæÓíã
imbaba,giza,ÅãÈÇÈÉ
badrasheen,giza,ÇáÈÏÑÔíä
baragil,giza,ÇáÈÑÇÌíá
haraneya,giza,ÇáÍÑÇäíÉ
hawamdeya,giza,ÇáÍæÇãÏíÉ
dokki,giza,ÇáÏŞì
remaia,giza,ÇáÑãÇíÉ
sheikh-zayed,giza,ÇáÔíÎ ÒÇíÏ
sahafieen,giza,ÇáÕÍİííä
saf,giza,ÇáÕİ
agouza,giza,ÇáÚÌæÒÉ
azizia,giza,ÇáÚÒíÒíÉ
omrania,giza,ÇáÚãÑÇäíÉ
el-ayyat,giza,ÇáÚíÇØ
pharaonic-village,giza,ÇáŞÑíÉ ÇáİÑÚæäíÉ
kit-kat,giza,ÇáßíÊ ßÇÊ
mansuriyya,giza,ÇáãäÕæÑíÉ
moneeb,giza,ÇáãäíÈ
mohandessin,giza,ÇáãåäÏÓíä
haram,giza,ÇáåÑã
warraq,giza,ÇáæÑÇŞ
bashtil,giza,ÈÔÊíá
bani-salamah,giza,Èäí ÓáÇãÉ
boulaq-dakrour,giza,ÈæáÇŞ ÇáÏßÑæÑ
tersa,giza,ÊÑÓÇ
dahab-island-and-coldair,giza,ÌÒíÑÉ ÇáÏåÈ æßæáÏíÑ
hadayek-al-ahram,giza,ÍÏÇÆŞ ÇáÇåÑÇã
giza-district,giza,Íì ÇáÌíÒÉ
dahshur,giza,ÏåÔæÑ
sakyet-mekky,giza,ÓÇŞíÉ ãßì
saqqara,giza,ÓŞÇÑÉ
souk-al-ahad,giza,ÓæŞ ÇáÃÍÏ
saft,giza,ÕİØ
west-somid,giza,ÛÑÈ ÓæãíÏ
faisal,giza,İíÕá
kerdasa,giza,ßÑÏÇÓÉ
kafr-tohormos,giza,ßİÑ ØåÑãÓ
markaz-al-giza,giza,ãÑßÒ ÇáÌíÒÉ
maryotaya,giza,ãÑíæØíÉ
mit-oqba,giza,ãíÊ ÚŞÈÉ
nahia,giza,äÇåíÇ
wardan,giza,æÑÏÇä
aga,dakahlia,ÃÌÇ
akhtab,dakahlia,ÃÎØÇÈ
gamaleya,dakahlia,ÇáÌãÇáíÉ
sinbillawain,dakahlia,ÇáÓäÈáÇæíä
matareya,dakahlia,ÇáãØÑíÉ
manzala,dakahlia,ÇáãäÒáÉ
mansura,dakahlia,ÇáãäÕæÑÉ
belqas,dakahlia,ÈáŞÇÓ
bani-ubayd,dakahlia,Èäí ÚÈíÏ
tama-al-amdeed,dakahlia,Êãì ÇáÇãÏíÏ
gamasa,dakahlia,ÌãÕå
dikirnis,dakahlia,ÏßÑäÓ
shirbin,dakahlia,ÔÑÈíä
talkha,dakahlia,ØáÎÇ
minat-al-nasr,dakahlia,ãäíÉ ÇáäÕÑ
mit-slseel,dakahlia,ãíÊ ÓáÓíá
mit-ghamr,dakahlia,ãíÊ ÛãÑ
nabaruh,dakahlia,äÈÑæå
ain-sukhna,suez,ÇáÚíä ÇáÓÎäÉ
ganayen,suez,Íì ÇáÌäÇíä
arbaeen,suez,Íí ÇáÃÑÈÚíä
suez-district,suez,Íí ÇáÓæíÓ
attaka,suez,Íí ÚÊÇŞÉ
faisal,suez,İíÕá
abu-hammad,sharqia,ÃÈæ ÍãÇÏ
abu-kabir,sharqia,ÃÈæ ßÈíÑ
awlad-saqr,sharqia,ÃæáÇÏ ÕŞÑ
ibrahemyah,sharqia,ÇáÅÈÑÇåíãíÉ
husseiniya,sharqia,ÇáÍÓíäíÉ
zagazig,sharqia,ÇáÒŞÇÒíŞ
new-salhia,sharqia,ÇáÕÇáÍíÉ ÇáÌÏíÏÉ
10th-of-ramadan,sharqia,ÇáÚÇÔÑ ãä ÑãÖÇä
qareen,sharqia,ÇáŞÑíä
alqnayat,sharqia,ÇáŞäÇíÇÊ
bilbeis,sharqia,ÈáÈíÓ
deyerb-negm,sharqia,ÏíÑÈ äÌã
faqous,sharqia,İÇŞæÓ
kafr-saqr,sharqia,ßİÑ ÕŞÑ
mashtool-al-souk,sharqia,ãÔÊæá ÇáÓæŞ
minya-al-qamh,sharqia,ãäíÇ ÇáŞãÍ
hihya,sharqia,ååíÇ
santa,gharbia,ÇáÓäØÉ
mahalla-al-kobra,gharbia,ÇáãÍáÉ ÇáßÈÑì
basyoun,gharbia,ÈÓíæä
zefta,gharbia,ÒİÊì
samanoud,gharbia,ÓãäæÏ
tanta,gharbia,ØäØÇ
qutour,gharbia,ŞØæÑ
kafr-al-zayat,gharbia,ßİÑ ÇáÒíÇÊ
atssa,fayoum,ÃØÓÇ
ibshway,fayoum,ÅÈÔæÇí
new-fayoum,fayoum,Çáİíæã ÇáÌÏíÏÉ
sinnuras,fayoum,ÓäæÑÓ
tamiya,fayoum,ØÇãíÉ
fayoum-city,fayoum,ãÏíäÉ Çáİíæã
yusuf-al-sadiq,fayoum,íæÓİ ÇáÕÏíŞ
al-amiriyyah,cairo,ÇáÃãíÑíÉ
basateen,cairo,ÇáÈÓÇÊíä
tebeen,cairo,ÇáÊÈíä
the-3rd-district,cairo,ÇáÊÌãÚ ÇáËÇáË
gamaleya,cairo,ÇáÌãÇáíÉ
helmeya,cairo,ÇáÍáãíÉ
helmeya-al-gadeda,cairo,ÇáÍáãíÉ ÇáÌÏíÏÉ
khalifa,cairo,ÇáÎáíİÉ
darrasa,cairo,ÇáÏÑÇÓÉ
darb-al-ahmar,cairo,ÇáÏÑÈ ÇáÃÍãÑ
roda,cairo,ÇáÑæÖÉ
zawya-al-hamra,cairo,ÇáÒÇæíÉ ÇáÍãÑÇÁ
zamalek,cairo,ÇáÒãÇáß
zaytoun,cairo,ÇáÒíÊæä
sahel,cairo,ÇáÓÇÍá
sayeda-zeinab,cairo,ÇáÓíÏÉ ÒíäÈ
sharabeya,cairo,ÇáÔÑÇÈíÉ
10th-ramadan-city,cairo,ÇáÚÇÔÑ ãä ÑãÖÇä
new-capital-city,cairo,ÇáÚÇÕãÉ ÇáÅÏÇÑíÉ ÇáÌÏíÏÉ
abasiya,cairo,ÇáÚÈÇÓíÉ
obour-city,cairo,ÇáÚÈæÑ
ataba,cairo,ÇáÚÊÈÉ
cairooo,cairo,ÇáŞÇåÑÉ - ÃÎÑì
First-Settlement,cairo,ÇáŞÇåÑÉ ÇáÌÏíÏÉ -  ÇáÊÌãÚ ÇáÃæá
new-cairo,cairo,ÇáŞÇåÑÉ ÇáÌÏíÏÉ - ÃÎÑì
new-cairo-andalous,cairo,ÇáŞÇåÑÉ ÇáÌÏíÏÉ - ÇáÃäÏáÓ
fifth-settlement,cairo,ÇáŞÇåÑÉ ÇáÌÏíÏÉ - ÇáÊÌãÚ ÇáÎÇãÓ
new-cairo-lotus,cairo,ÇáŞÇåÑÉ ÇáÌÏíÏÉ - áæÊÓ
rehab-city,cairo,ÇáŞÇåÑÉ ÇáÌÏíÏÉ - ãÏíäÉ ÇáÑÍÇÈ
katameya,cairo,ÇáŞØÇãíÉ
almazah,cairo,ÇáãÇÙÉ
marg,cairo,ÇáãÑÌ
matareya,cairo,ÇáãØÑíÉ
maadi,cairo,ÇáãÚÇÏí
ma-sara,cairo,ÇáãÚÕÑå
mokattam,cairo,ÇáãŞØã
mounira-al-gadeda,cairo,ÇáãäíÑÉ ÇáÌÏíÏÉ
al-manial,cairo,Çáãäíá
moski,cairo,ÇáãæÓßí
nozha-cairo,cairo,ÇáäÒåÉ
waili,cairo,ÇáæÇíáí
bab-al-shereia,cairo,ÈÇÈ ÇáÔÚÑíÉ
boulaq,cairo,ÈæáÇŞ
bait-el-watan,cairo,ÈíÊ ÇáæØä
garden-city,cairo,ÌÇÑÏä ÓíÊí
hadayek-al-kobba,cairo,ÍÏÇÆŞ ÇáŞÈÉ
hadayek-helwan,cairo,ÍÏÇÆŞ ÍáæÇä
helwan,cairo,ÍáæÇä
dar-al-salaam,cairo,ÏÇÑ ÇáÓáÇã
ramses-ramses-extension,cairo,ÑãÓíÓ æ ÇãÊÏÇÏ ÑãÓíÓ
rod-al-farag,cairo,ÑæÖ ÇáİÑÌ
zahraa-al-maadi,cairo,ÒåÑÇÁ ÇáãÚÇÏì
shubra,cairo,ÔÈÑÇ
Sheraton,cairo,ÔíÑÇÊæä
tura,cairo,ØÑÉ
izbat-an-nakhl,cairo,ÚÒÈÉ ÇáäÎá
ain-shams,cairo,Úíä ÔãÓ
qasr-al-nil,cairo,ŞÕÑ Çáäíá
15-may-city,cairo,ãÏíäÉ 15 ãÇíæ
salam-city,cairo,ãÏíäÉ ÇáÓáÇã
shorouk-city,cairo,ãÏíäÉ ÇáÔÑæŞ
future-city,cairo,ãÏíäÉ ÇáãÓÊŞÈá
Badr-City,cairo,ãÏíäÉ ÈÏÑ
nasr-city,cairo,ãÏíäÉ äÕÑ
Madinaty,cairo,ãÏíäÊí
musturad,cairo,ãÓØÑÏ
heliopolis,cairo,ãÕÑ ÇáÌÏíÏÉ
masr-al-kadema,cairo,ãÕÑ ÇáŞÏíãÉ
new-heliopolis,cairo,åáíæÈæáíÓ ÇáÌÏíÏÉ
downtown-cairo,cairo,æÓØ ÇáŞÇåÑÉ
khanka,qalyubia,ÇáÎÇäßÉ
khosous,qalyubia,ÇáÎÕæÕ
el-ubour,qalyubia,ÇáÚÈæÑ
qanater-al-khairia,qalyubia,ÇáŞäÇØÑ ÇáÎíÑíÉ
banha,qalyubia,ÈäåÇ
bahtim,qalyubia,ÈåÊíã
zawya-el-naggar,qalyubia,ÒÇæíå ÇáäÌÇÑ
shubra-al-khaimah,qalyubia,ÔÈÑÇ ÇáÎíãÉ
shebin-al-qanater,qalyubia,ÔÈíä ÇáŞäÇØÑ
tookh,qalyubia,ØæÎ
qalyub,qalyubia,ŞáíæÈ
qaha,qalyubia,ŞåÇ
kafr-shukr,qalyubia,ßİÑ ÔßÑ
ashmon,menoufia,ÃÔãæä
bagour,menoufia,ÇáÈÇÌæÑ
sadat,menoufia,ÇáÓÇÏÇÊ
shohadaa,menoufia,ÇáÔåÏÇÁ
berket-al-sabaa,menoufia,ÈÑßÉ ÇáÓÈÚ
tala,menoufia,ÊáÇ
sers-al-lyan,menoufia,ÓÑÓ ÇááíÇä
shebin-al-koum,menoufia,ÔÈíä Çáßæã
quesna,menoufia,ŞæíÓäÇ
menouf,menoufia,ãäæİ
mit-el-ezz,menoufia,ãíÊ ÇáÚÒ
abu-qurqas,minya,ÃÈæ ŞÑŞÇÕ
adwa,minya,ÇáÚÏæÉ
new-minya,minya,ÇáãäíÇ ÇáÌÏíÏÉ
beni-mazar,minya,Èäí ãÒÇÑ
deir-mawas,minya,ÏíÑ ãæÇÓ
samalut,minya,ÓãÇáæØ
minya-city,minya,ãÏíäÉ ÇáãäíÇ
matay,minya,ãØÇí
maghagha,minya,ãÛÇÛÉ
malawi,minya,ãáæí
kharga,new-valley,ÇáÎÇÑÌÉ
dakhla,new-valley,ÇáÏÇÎáÉ
farafra,new-valley,ÇáİÑÇİÑÉ
paris,new-valley,ÈÇÑíÓ
balat,new-valley,ÈáÇØ
mut,new-valley,ãÏíäÉ ãæØ
ehnasia,beni-suef,ÅåäÇÓíÇ
al-feshn,beni-suef,ÇáİÔä
al-wasty,beni-suef,ÇáæÇÓØì
beba,beni-suef,ÈÈÇ
new-beni-suef,beni-suef,Èäí Óæíİ ÇáÌÏíÏÉ
samasta,beni-suef,ÓãÓØÇ
beni-suef-city,beni-suef,ãÏíäÉ Èäí Óæíİ
nasser,beni-suef,äÇÕÑ
ganoub-district,port-said,Íí ÇáÌäæÈ
zohour-district,port-said,Íí ÇáÒåæÑ
sharq-district,port-said,Íí ÇáÔÑŞ
dawahy-district,port-said,Íí ÇáÖæÇÍí
arab-district,port-said,Íí ÇáÚÑÈ
manakh-district,port-said,Íí ÇáãäÇÎ
port-fouad,port-said,ãÏíäÉ ÈæÑİÄÇÏ
abu-rudeis,south-sinai,ÃÈæ ÑÏíÓ
abu-zenimah,south-sinai,ÃÈæ ÒäíãÉ
dahab,south-sinai,ÏåÈ
ras-sidr,south-sinai,ÑÃÓ ÓÏÑ
ras-sedr,south-sinai,ÑÇÓ ÓÏÑ
st-catherine,south-sinai,ÓÇäÊ ßÇÊÑíä
sharm-al-sheikh,south-sinai,ÔÑã ÇáÔíÎ
taba,south-sinai,ØÇÈÇ
tor-sinai,south-sinai,ØæÑ ÓíäÇÁ
nuweiba,south-sinai,äæíÈÚ
rodah,dameitta,ÇáÑæÖÉ
zarqa,dameitta,ÇáÒÑŞÇ
saro,dameitta,ÇáÓÑæ
new-damietta,dameitta,ÏãíÇØ ÇáÌÏíÏÉ
ras-al-bar,dameitta,ÑÃÓ ÇáÈÑ
ezbet-al-burj,dameitta,ÚÒÈÉ ÇáÈÑÌ
fareskour,dameitta,İÇÑÓßæÑ
kafr-al-bateekh,dameitta,ßİÑ ÇáÈØíÎ
kafr-saad,dameitta,ßİÑ ÓÚÏ
damietta-city,dameitta,ãÏíäÉ ÏãíÇØ
mit-abughalb,dameitta,ãíÊ ÃÈæÛÇáÈ
akhmim,sohag,ÃÎãíã
baliana,sohag,ÇáÈáíäÇ
alasirat,sohag,ÇáÚÓíÑÇÊ
maragha,sohag,ÇáãÑÇÛÉ
monsha-a,sohag,ÇáãäÔÇÉ
girga,sohag,ÌÑÌÇ
juhaynah,sohag,ÌåíäÉ
dar-es-salam,sohag,ÏÇÑÇáÓáÇã
sakaltah,sohag,ÓÇŞáÊÉ
tama,sohag,ØãÇ
tahta,sohag,ØåØÇ
sohag-city,sohag,ãÏíäÉ ÓæåÇÌ
hasana,north-sinai,ÇáÍÓäÉ
sheikh-zoweyd,north-sinai,ÇáÔíÎ ÒæíÏ
arish,north-sinai,ÇáÚÑíÔ
bir-al-abed,north-sinai,ÈÆÑ ÇáÚÈÏ
rafah,north-sinai,ÑİÍ
nakhl,north-sinai,äÎá
abu-tisht,qena,ÃÈæ ÊÔÊ
wakf,qena,ÇáæŞİ
shna,qena,ÔäÇ
farshout,qena,İÑÔæØ
keft,qena,ŞİØ
quos,qena,ŞæÕ
qena-city,qena,ãÏíäÉ ŞäÇ
nag-hammadi,qena,äÌÚ ÍãÇÏí
nakada,qena,äŞÇÏÉ
brolos,kafr-el-sheikh,ÇáÈÑáÓ
hamoul,kafr-el-sheikh,ÇáÍÇãæá
riyadh,kafr-el-sheikh,ÇáÑíÇÖ
baltim,kafr-el-sheikh,ÈáØíã
bella,kafr-el-sheikh,ÈíáÇ
desouk,kafr-el-sheikh,ÏÓæŞ
sidi-salem,kafr-el-sheikh,ÓíÏì ÓÇáã
fouh,kafr-el-sheikh,İæå
qaleen,kafr-el-sheikh,Şáíä
kafr-al-sheikh-city,kafr-el-sheikh,ãÏíäÉ ßİÑ ÇáÔíÎ
motobas,kafr-el-sheikh,ãØæÈÓ
hammam,matruh,ÇáÍãÇã
north-coast,matruh,ÇáÓÇÍá ÇáÔãÇáí
salloum,matruh,ÇáÓáæã
dabaa,matruh,ÇáÖÈÚÉ
alamein,matruh,ÇáÚáãíä
nagela,matruh,ÇáäÌíáÉ
barany,matruh,ÈÑÇäí
siwa,matruh,ÓíæÉ
marina-el-alamein,matruh,ãÇÑíäÇ ÇáÚáãíä
marsa-matrouh,matruh,ãÑÓì ãØÑæÍ
